Problema,Maquinas,Tareas,Costo PULP,Costo VOGEL,Tiempo PULP,Tiempo VOGEL
59_(10x64),10,64,10880.0,11650.0,0.298917,0.014076
60_(10x64),10,64,11900.0,12640.0,0.271568,0.015631
61_(6x96),6,96,20390.0,21310.0,0.351429,0.062509
62_(6x96),6,96,21210.0,21690.0,0.329463,0.019722
63_(6x96),6,96,19510.0,19970.0,0.252455,0.015782
64_(6x96),6,96,20610.0,20970.0,0.335325,0.025067
65_(6x96),6,96,20290.0,20680.0,0.271341,0.024999
66_(8x96),8,96,20040.0,20700.0,0.271251,0.022664
67_(8x96),8,96,17850.0,19220.0,0.342275,0.027694
68_(8x96),8,96,17460.0,17920.0,0.399672,0.017474
69_(8x96),8,96,19370.0,20290.0,0.284971,0.014048
70_(8x96),8,96,19840.0,20960.0,0.379915,0.043218
71_(10x96),10,96,18770.0,19730.0,0.328324,0.037873
